"season","week","pwq1","pwm","pwq2","pwtrue","pwpred","piq1","pim","piq2","pitrue","pipred","tiq1","tim","tiq2","titrue","tipred"
"2008/2009",28,25,32,49,31,32,45,49.3262044981858,98.2666171294109,48,49.3262044981858,559.567943234837,948.184045519775,1911.86139318885,1035,948.184045519775
"2008/2009",32,31,31,50,31,31,48,48,67.9324179762017,48,48,575.177071904628,737.942357819115,1405.66535928494,1035,737.942357819115
"2008/2009",36,31,31,52,31,31,48,48,89.0869733583003,48,48,688.926624339406,928.746256792475,1589.18305052001,1035,928.746256792475
"2008/2009",40,31,31,52,31,31,48,48,107.77602618494,48,48,877.723163684752,1160.3384569194,1646.90190670961,1035,1160.3384569194
"2008/2009",44,31,31,51,31,31,48,48,55.6968144796011,48,48,962.771556386473,1070.23622538846,1239.2147033489,1035,1070.23622538846
"2008/2009",48,31,31,31,31,31,48,48,48,48,48,1014.55021375095,1048.09667917663,1092.76499667585,1035,1048.09667917663
"2009/2010",0,23,28,34,43,28,53.5387504688271,97.5444787496426,154.728788936049,75,97.5444787496426,1190.37622609482,2212.87253483013,3554.88415263603,2118,2212.87253483013
"2009/2010",4,23,28,40,43,28,36.1521499576964,79.4418589509274,141.231204287986,75,79.4418589509274,727.33678623689,1689.67858188992,3068.81330942828,2118,1689.67858188992
"2009/2010",8,22,28,36,43,28,55.8044506179518,104.675163304189,170.021790518812,75,104.675163304189,1383.05653555252,2483.08565912642,3925.46833225225,2118,2483.08565912642
"2009/2010",12,20,28,44,43,28,36.85868347992,75.2564790469519,132.770293980103,75,75.2564790469519,949.767054451617,1821.41096181482,3069.44895716016,2118,1821.41096181482
"2009/2010",16,23,28,34,43,28,74.7227496813474,113.065877934781,162.618009999435,75,113.065877934781,1668.14271003031,2484.85097104403,3562.47195313296,2118,2484.85097104403
"2009/2010",20,21,28,41,43,28,53.5705754646643,74.3216094417331,107.226146953204,75,74.3216094417331,1193.4475553768,1775.49665124664,2674.63992480768,2118,1775.49665124664
"2009/2010",24,16,16,47,43,16,52,52,82.9774632991196,75,52,907.032880609862,1311.16687781662,2142.61333659349,2118,1311.16687781662
"2009/2010",28,16,31,47,43,31,52,54.5777500015741,96.9241235061138,75,54.5777500015741,1084.45916449568,1513.81573639917,2389.90793739164,2118,1513.81573639917
"2009/2010",32,31,31,44,43,31,74,74,114.035863553356,75,74,1411.72302431402,1861.65249317562,2728.71415356923,2118,1861.65249317562
"2009/2010",36,31,31,47,43,31,74,74,97.7553151600742,75,74,1532.69668319442,1887.39441420275,2464.20807583411,2118,1887.39441420275
"2009/2010",40,31,31,51,43,31,74,74,101.088369920962,75,74,1801.28835731342,2075.9183411203,2455.6254904627,2118,2075.9183411203
"2009/2010",44,43,43,52,43,43,75,75,99.4730505531289,75,75,2035.01938686909,2194.77096734566,2392.67164109182,2118,2194.77096734566
"2009/2010",48,43,43,43,43,43,75,75,75,75,75,2060.506299834,2117.48225470876,2184.9236032975,2118,2117.48225470876
"2010/2011",0,12,15,17,16,15,116.814830773661,169.061783613753,233.036398188775,277,169.061783613753,2079.75693284903,3227.33928429776,4684.94084343,4696,3227.33928429776
"2010/2011",4,12,14,17,16,14,151.183392740037,203.140277356195,265.602150894631,277,203.140277356195,2828.19575263896,3996.55545304529,5470.81628625935,4696,3996.55545304529
"2010/2011",8,12,14,16,16,14,224.217657795505,276.076031129419,338.159272741993,277,276.076031129419,4015.01815693889,5376.51336284863,7059.39982781005,4696,5376.51336284863
"2010/2011",12,12,15,17,16,15,246,278.084859032683,319.508931549042,277,278.084859032683,4431.41385110302,5577.19954151461,7006.3745898215,4696,5577.19954151461
"2010/2011",16,16,16,16,16,16,277,277,277,277,277,4680.33224988448,5667.28699653014,6919.95094196199,4696,5667.28699653014
"2010/2011",20,16,16,16,16,16,277,277,277,277,277,5480.10521172896,6482.83927818407,7893.52737120474,4696,6482.83927818407
"2010/2011",24,16,16,16,16,16,277,277,277,277,277,4925.38226309964,5657.86352929998,6864.99471196226,4696,5657.86352929998
"2010/2011",28,16,16,16,16,16,277,277,277,277,277,4758.01369796014,5280.88511652531,6343.06244362417,4696,5280.88511652531
"2010/2011",32,16,16,16,16,16,277,277,277,277,277,4506.37834353967,4609.5668620531,5108.22929977253,4696,4609.5668620531
"2010/2011",36,16,16,16,16,16,277,277,277,277,277,4564.93953252731,4631.50378681512,5017.94993849373,4696,4631.50378681512
"2010/2011",40,16,16,16,16,16,277,277,277,277,277,4602.9653479509,4630.25232907266,4810.88579515288,4696,4630.25232907266
"2010/2011",44,16,16,16,16,16,277,277,277,277,277,4659.51707268457,4709.42325613316,4820.21197696195,4696,4709.42325613316
"2010/2011",48,16,16,16,16,16,277,277,277,277,277,4676.27961354077,4689.38990491815,4717.30764830372,4696,4689.38990491815
"2011/2012",0,15,19,24,20,19,21.5426066943028,61.4070021407752,123.4294638923,71,61.4070021407752,290.518214367449,1010.11567916034,2276.48526053268,1329,1010.11567916034
"2011/2012",4,15,18,22,20,18,34.7332375782135,74.3877712249376,130.925608780564,71,74.3877712249376,500.504276940803,1215.52394782133,2361.25580772191,1329,1215.52394782133
"2011/2012",8,16,19,22,20,19,38.5434292429314,71.31392877253,117.399107088257,71,71.31392877253,542.981354886913,1141.54343961191,2080.96553045959,1329,1141.54343961191
"2011/2012",12,16,19,22,20,19,61.0657559831685,86.1524503520356,119.293755835676,71,86.1524503520356,860.512550466135,1370.66232050484,2107.9116398581,1329,1370.66232050484
"2011/2012",16,16,18,22,20,18,48,53.1190454344968,69.3585058849728,71,53.1190454344968,572.092916973162,864.391166949335,1460.0892316993,1329,864.391166949335
"2011/2012",20,20,20,28,20,20,71,71,84.4707210907061,71,71,948.961455252047,1344.83494106077,2162.12720273033,1329,1344.83494106077
"2011/2012",24,20,20,20,20,20,71,71,71,71,71,968.70351344123,1227.41614103513,1919.09081558931,1329,1227.41614103513
"2011/2012",28,20,20,20,20,20,71,71,71,71,71,1021.73194378086,1167.94100481431,1771.06559590219,1329,1167.94100481431
"2011/2012",32,20,20,20,20,20,71,71,71,71,71,1059.86781465209,1173.04711374082,1732.17145475715,1329,1173.04711374082
"2011/2012",36,20,20,51,20,20,71,71,109.506436677721,71,71,1193.5777768386,1508.73402484685,2253.13180900766,1329,1508.73402484685
"2011/2012",40,20,20,20,20,20,71,71,71,71,71,1191.32074443841,1257.6429120577,1522.09534239846,1329,1257.6429120577
"2011/2012",44,20,20,20,20,20,71,71,71,71,71,1238.41489252428,1305.97138147317,1439.47396394338,1329,1305.97138147317
"2011/2012",48,20,20,20,20,20,71,71,71,71,71,1299.97331280245,1329.30938962915,1371.15061764,1329,1329.30938962915
"2012/2013",0,22,28,34,32,28,53.8117564658089,97.8167547466824,155.488571889744,236,97.8167547466824,1233.63224354217,2257.73180728361,3615.97169050524,5283,2257.73180728361
"2012/2013",4,20,27,37,32,27,43.715419652837,90.3026266721197,155.79980141349,236,90.3026266721197,1110.09009436903,2226.23273230964,3761.76115399441,5283,2226.23273230964
"2012/2013",8,11,24,37,32,24,52.7466827161197,94.2936287839741,164.907862317747,236,94.2936287839741,1412.18908780097,2598.53949941567,4298.47428208113,5283,2598.53949941567
"2012/2013",12,7,26,44,32,26,51,64.6871913240784,121.634567590183,236,64.6871913240784,954.156587135063,1795.20037752554,3079.54196082818,5283,1795.20037752554
"2012/2013",16,21,27,34,32,27,82.8645993970982,126.255560406871,187.512629573034,236,126.255560406871,2021.29256993737,3035.86806574917,4449.21255445352,5283,3035.86806574917
"2012/2013",20,21,26,34,32,26,95.9357852991248,122.544179060655,165.456618919718,236,122.544179060655,2106.78659387909,2919.11237306319,4198.61475613144,5283,2919.11237306319
"2012/2013",24,24,28,35,32,28,152,161.213719773329,208.131529414541,236,161.213719773329,2811.04045748457,3677.68005256816,5048.51553090948,5283,3677.68005256816
"2012/2013",28,28,30,36,32,30,170,174.36155474949,218.39159721427,236,174.36155474949,3159.16075128716,3982.49579958067,5383.26985906967,5283,3982.49579958067
"2012/2013",32,32,35,39,32,35,236,247.968741351592,300.212222562643,236,247.968741351592,4622.80884006289,5580.588271868,6992.16750989873,5283,5580.588271868
"2012/2013",36,32,32,32,32,32,236,236,236,236,236,4402.62280927005,4974.40557542218,5962.11972762949,5283,4974.40557542218
"2012/2013",40,32,32,32,32,32,236,236,236,236,236,4984.4232052789,5419.06295535476,6054.05387509647,5283,5419.06295535476
"2012/2013",44,32,32,32,32,32,236,236,236,236,236,5000.52056395095,5141.05783698838,5355.32991051986,5283,5141.05783698838
"2012/2013",48,32,32,32,32,32,236,236,236,236,236,5223.69599431345,5288.36846412308,5370.04353947006,5283,5288.36846412308
