season,week,F1,F2,F3,SEF123,SEF12
2009/2010,40,1869.4,1876.7,1671.7,1857.7,1874.1
2009/2010,44,2032.3,1998.5,1849.6,1997.5,2010.5
2009/2010,48,2115.1,2084.4,2028.2,2089.9,2095.3
2010/2011,0,5044.8,4402.4,1792,4000.1,4698.5
2010/2011,4,2518.7,4524.1,2020.4,3172.8,3599.8
2010/2011,8,2097.1,4737.5,2470.5,3210.3,3520.6
2010/2011,12,3410.2,4936.3,3211.2,3769.6,4227.7
2010/2011,16,4295.6,4951.9,4039.2,4376.5,4647.2
2010/2011,20,4670.4,5917.9,4709.7,4858,5213.4
2010/2011,24,4586.8,5188.2,4952.5,4908.3,4848.6
2010/2011,28,4639.4,4896.3,5014.9,4922.9,4751.2
2010/2011,32,4615.6,4791.2,4926.5,4804.3,4703
2010/2011,36,4626.4,4756.6,4868.6,4771.6,4691.2
2010/2011,40,4642.8,4698.5,4798.9,4687.5,4676.1
2010/2011,44,4670.8,4704.9,4752.1,4696.8,4691.2
2010/2011,48,4685.4,4700.3,4706.9,4695.4,4694.3
2011/2012,0,958.02,1267.9,1883.6,1340.5,1113.5
2011/2012,4,513.17,1241.7,1848.1,1162.8,878.64
2011/2012,8,1615.2,1335.5,1808.3,1575.3,1474.9
2011/2012,12,2672.4,1835.4,1785.7,2046.9,2267.2
2011/2012,16,2470.1,2018.9,1751.8,2017.9,2251.7
2011/2012,20,2113.7,1946.1,1760.8,1863.7,2040.1
2011/2012,24,1531.6,1679.6,1713.4,1668.1,1596.6
2011/2012,28,1173.2,1429.8,1602.7,1484,1285.9
2011/2012,32,1167.3,1320,1481.5,1364.1,1256.2
2011/2012,36,1217.5,1316,1429.4,1348.7,1274.9
2011/2012,40,1234.2,1282.8,1365,1274,1265.5
2011/2012,44,1266.3,1293.7,1330,1287.9,1283.9
2011/2012,48,1300.4,1321.5,1320,1314.5,1314
2012/2013,0,1236,1733.7,1864.2,1600.6,1501.7
2012/2013,4,3720.3,4503.1,1907,3551.5,4138.1
2012/2013,8,1111.6,5924.9,1974.7,3256.3,3680.6
2012/2013,12,1128.5,3054.6,1989.9,2074.5,2136.3
2012/2013,16,2330.8,2287.3,2018.6,2171.1,2308
2012/2013,20,2899.7,2545,2126.2,2355.6,2742.7
2012/2013,24,4358.3,3639.1,2414.9,3012.6,4039.9
2012/2013,28,4259.1,3737.2,2805.2,3254.3,4028
2012/2013,32,4984.1,4099.7,3483.5,3958.8,4416.1
2012/2013,36,5060.5,4248.1,4155.8,4331.4,4538.7
2012/2013,40,5363.9,4948.4,4731.3,5045.3,5081.5
2012/2013,44,5283.9,5292.6,5031.5,5260,5289.8
2012/2013,48,5275.4,5306.2,5197.5,5284.7,5296.3
